Modelo,Mejor alpha,N features (con interacciones),CV R² media,CV R² std,CV RMSE media,Test R²,Test RMSE,Features activas
Ridge_Polinomial,50.0,153,0.6921,0.0097,2.5757,0.7059,2.4159,
Lasso_Polinomial,0.01,153,0.6959,0.0089,2.5598,0.7081,2.4071,74.0
