Player,season,Pos,Age,G,MP,PER,TS%,USG%,BPM,VORP,WS,OWS,DWS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,PER_next
Taj Gibson,2021,C,35.0,45.0,936.0,16.0,0.661,9.7,1.3,0.8,3.8,2.1,1.7,5.4,5.6,0.8,0.7,1.1,0.5,0.627,0.2,0.727,12.0
Taj Gibson,2022,C,36.0,52.0,946.0,12.0,0.606,10.0,-2.0,0.0,2.7,1.4,1.2,4.4,4.4,0.6,0.4,0.8,0.5,0.518,0.395,0.808,11.4
Taj Gibson,2023,C,37.0,49.0,480.0,11.4,0.585,15.3,-3.2,-0.1,0.8,0.4,0.5,3.4,1.9,0.7,0.3,0.2,0.5,0.52,0.333,0.714,5.9
Taj Gibson,2024,PF,38.0,20.0,204.0,5.9,0.449,9.0,-5.3,-0.2,0.2,0.0,0.2,1.7,1.9,0.6,0.2,0.4,0.3,0.405,0.2,1.0,10.8
Talen Horton-Tucker,2021,SG,20.0,65.0,1304.0,12.9,0.536,21.7,-1.2,0.3,2.1,-0.1,2.2,9.0,2.6,2.8,1.0,0.3,1.6,0.458,0.282,0.775,11.0
Talen Horton-Tucker,2022,SG,21.0,60.0,1511.0,11.0,0.503,19.2,-3.3,-0.5,1.1,-0.2,1.2,10.0,3.2,2.7,1.0,0.5,1.4,0.416,0.269,0.8,13.7
Talen Horton-Tucker,2023,SG,22.0,65.0,1313.0,13.7,0.508,25.9,-1.6,0.2,0.8,-0.3,1.1,10.7,3.2,3.8,0.6,0.4,1.9,0.419,0.286,0.75,13.4
Talen Horton-Tucker,2024,PG,23.0,51.0,1009.0,13.4,0.503,24.0,-1.2,0.2,0.8,0.3,0.5,10.1,2.4,3.5,0.9,0.4,1.3,0.396,0.33,0.807,13.8
Tari Eason,2023,PF,21.0,82.0,1767.0,15.2,0.525,19.3,-1.7,0.1,2.6,0.9,1.7,9.3,6.0,1.1,1.2,0.6,1.2,0.448,0.343,0.752,17.1
Tari Eason,2024,PF,22.0,22.0,480.0,17.1,0.528,19.8,1.6,0.4,1.3,0.3,1.0,9.8,7.0,1.2,1.4,0.9,0.9,0.466,0.36,0.636,18.5
Tarik Black,2015,C,23.0,63.0,1196.0,14.7,0.583,13.8,-2.1,0.0,3.1,2.2,0.9,6.0,5.8,0.7,0.3,0.4,0.8,0.575,0.0,0.551,12.3
Tarik Black,2016,C,24.0,39.0,496.0,12.3,0.537,12.9,-3.3,-0.2,0.7,0.3,0.4,3.4,4.0,0.4,0.4,0.5,0.6,0.548,,0.422,15.0
Tarik Black,2017,C,25.0,67.0,1091.0,15.0,0.56,15.7,-3.2,-0.3,2.4,1.5,0.8,5.7,5.1,0.6,0.4,0.7,0.9,0.51,0.5,0.752,14.3
Taurean Prince,2017,SF,22.0,59.0,981.0,9.8,0.513,17.2,-1.8,0.0,1.1,-0.4,1.5,5.7,2.7,0.9,0.7,0.5,1.0,0.4,0.324,0.787,12.8
Taurean Prince,2018,SF,23.0,82.0,2464.0,12.8,0.549,22.1,-1.1,0.6,2.0,0.0,2.0,14.1,4.7,2.6,1.0,0.5,2.3,0.426,0.385,0.844,9.1
Taurean Prince,2019,PF,25.0,64.0,1857.0,9.1,0.497,20.4,-2.9,-0.4,0.6,-1.7,2.3,13.5,3.6,2.1,1.0,0.3,1.8,0.441,0.39,0.819,9.1
Taurean Prince,2020,PF,25.0,64.0,1857.0,9.1,0.497,20.4,-2.9,-0.4,0.6,-1.7,2.3,12.1,6.0,1.8,0.9,0.4,2.0,0.376,0.339,0.798,12.1
Taurean Prince,2021,PF,26.0,41.0,905.0,12.1,0.54,19.6,-1.8,0.0,1.0,0.2,0.8,9.5,3.5,1.9,0.7,0.6,1.1,0.401,0.4,0.855,12.4
