Player,season,PER,TS%,USG%,BPM,VORP,WS,OWS,DWS,PTS,TRB,AST,STL,BLK,TOV,Age,G,MP,PER_next
Saben Lee,2021,13.8,0.536,17.0,-2.0,0.0,1.5,0.7,0.8,5.6,2.0,3.6,0.7,0.3,1.1,21.0,48.0,781.0,13.8
Saben Lee,2022,13.8,0.499,17.3,-0.4,0.2,0.9,0.3,0.7,5.6,2.4,2.9,1.0,0.3,1.0,22.0,37.0,604.0,13.1
Saben Lee,2023,13.1,0.517,19.5,-1.8,0.0,0.7,0.2,0.4,6.0,1.8,2.7,0.8,0.0,1.0,23.0,25.0,373.0,13.5
Saddiq Bey,2021,12.6,0.567,18.7,-0.5,0.7,3.3,1.6,1.7,12.2,4.5,1.4,0.7,0.2,0.9,21.0,70.0,1909.0,14.0
Saddiq Bey,2022,14.0,0.529,21.3,-0.3,1.2,4.0,2.4,1.6,16.1,5.4,2.8,0.9,0.2,1.2,22.0,82.0,2704.0,14.6
Saddiq Bey,2023,14.6,0.564,20.2,-0.3,0.9,3.9,2.6,1.2,13.8,4.7,1.5,0.9,0.2,0.9,23.0,77.0,2129.0,13.1
Salah Mejri,2016,16.8,0.636,14.0,0.2,0.2,1.3,0.6,0.7,3.7,3.6,0.3,0.2,1.1,0.7,29.0,34.0,397.0,14.8
Salah Mejri,2017,14.8,0.65,10.6,-0.7,0.3,3.0,1.3,1.7,2.9,4.2,0.2,0.4,0.8,0.5,30.0,73.0,905.0,17.8
Sam Dekker,2017,13.1,0.549,14.9,-0.2,0.6,3.1,1.9,1.2,6.5,3.7,1.0,0.5,0.3,0.5,22.0,77.0,1419.0,11.5
Sam Hauser,2022,14.8,0.65,14.5,2.3,0.2,0.6,0.4,0.2,2.5,1.1,0.4,0.0,0.1,0.1,24.0,26.0,158.0,12.7
Sam Hauser,2023,12.7,0.634,14.7,1.0,1.0,3.4,1.8,1.6,6.4,2.6,0.9,0.4,0.3,0.4,25.0,80.0,1290.0,13.0
Sam Hauser,2024,13.0,0.629,15.0,1.2,1.4,4.9,2.7,2.1,9.0,3.5,1.0,0.5,0.3,0.4,26.0,79.0,1741.0,12.8
Sam Merrill,2021,11.9,0.603,15.0,-1.0,0.1,0.5,0.3,0.2,3.0,1.0,0.7,0.3,0.0,0.3,24.0,30.0,233.0,13.1
Sam Merrill,2024,13.1,0.598,17.5,0.5,0.7,2.8,1.9,0.9,8.0,2.0,1.8,0.3,0.1,0.3,27.0,61.0,1069.0,11.1
Sandro Mamukelashvili,2022,14.7,0.618,14.6,-0.3,0.2,1.1,0.8,0.3,3.8,2.0,0.5,0.2,0.2,0.4,22.0,41.0,407.0,13.4
Sandro Mamukelashvili,2023,13.4,0.516,18.2,-2.4,-0.1,0.9,0.4,0.5,6.1,4.3,1.4,0.3,0.3,0.8,23.0,43.0,660.0,15.8
Sandro Mamukelashvili,2024,15.8,0.559,17.7,-0.5,0.2,1.0,0.6,0.4,4.1,3.2,1.1,0.2,0.3,0.4,24.0,46.0,451.0,19.7
Santi Aldama,2022,10.2,0.452,18.4,-5.7,-0.3,0.3,-0.1,0.4,4.1,2.7,0.7,0.2,0.3,0.5,21.0,32.0,360.0,13.9
Santi Aldama,2023,13.9,0.591,16.0,0.5,1.1,4.6,2.1,2.4,9.0,4.8,1.3,0.6,0.6,0.8,22.0,77.0,1682.0,13.1
Santi Aldama,2024,13.1,0.539,17.9,-0.2,0.7,2.4,0.4,2.0,10.7,5.8,2.3,0.7,0.9,1.1,23.0,61.0,1618.0,16.8
Sasha Vujačić,2016,11.1,0.503,16.8,-1.2,0.2,1.1,0.3,0.8,4.9,2.4,1.4,0.6,0.1,0.7,31.0,61.0,908.0,8.6
Scoot Henderson,2024,9.5,0.489,26.5,-5.8,-1.7,-1.7,-2.5,0.9,14.0,3.1,5.4,0.8,0.2,3.4,19.0,62.0,1765.0,12.5
Scottie Barnes,2022,16.3,0.552,19.0,0.9,1.9,6.6,3.7,2.9,15.3,7.5,3.5,1.1,0.7,1.8,20.0,74.0,2617.0,15.5
Scottie Barnes,2023,15.5,0.524,20.3,0.4,1.6,5.0,2.3,2.7,15.3,6.6,4.8,1.1,0.8,2.0,21.0,77.0,2678.0,19.5
